modelo,fold,score
RandomForest,0,0.5258620689655172
RandomForest,1,0.6144927536231884
RandomForest,2,0.4066666666666667
RandomForest,3,0.5766666666666667
RandomForest,4,0.45666666666666667
GradientBoosting,0,0.514367816091954
GradientBoosting,1,0.7159420289855073
GradientBoosting,2,0.38666666666666666
GradientBoosting,3,0.53
GradientBoosting,4,0.48
LogisticRegression,0,0.40229885057471265
LogisticRegression,1,0.2956521739130435
LogisticRegression,2,0.36
LogisticRegression,3,0.5166666666666667
LogisticRegression,4,0.24666666666666667
SVM_RBF,0,0.39655172413793105
SVM_RBF,1,0.4753623188405797
SVM_RBF,2,0.27
SVM_RBF,3,0.6133333333333333
SVM_RBF,4,0.37333333333333335
KNN,0,0.5057471264367817
KNN,1,0.4782608695652174
KNN,2,0.33
KNN,3,0.5266666666666666
KNN,4,0.37666666666666665
MLP,0,0.31896551724137934
MLP,1,0.5710144927536231
MLP,2,0.25666666666666665
MLP,3,0.6466666666666666
MLP,4,0.43666666666666665
NaiveBayes,0,0.5862068965517241
NaiveBayes,1,0.5130434782608696
NaiveBayes,2,0.41
NaiveBayes,3,0.5166666666666667
NaiveBayes,4,0.10333333333333333
