feature,importance
caafe_kurtosis_excess,0.12905852121194542
X0_obs_skew_diff,0.11387105656709948
caafe_cond_entropy_X0_mask,0.10328786730450806
X0_obs_vs_full_ratio,0.09425574852511433
X0_censoring_score,0.05657950672545667
caafe_kl_density,0.05372120975643997
X1_mean_diff,0.043611750153354265
X0_mean_shift_X1_to_X4,0.037940713070295624
little_proxy_score,0.03649759759154564
caafe_auc_self_delta,0.03457379202970142
X0_ks_obs_vs_imputed,0.032428121898889994
X0_missing_rate,0.031064495902508888
mask_entropy,0.02976051336663269
log_pval_X1_mask,0.027129377253853025
mechdetect_delta_complete_excluded,0.025191322294771064
X1_mannwhitney_pval,0.024611995611693995
mechdetect_auc_excluded,0.022134652845936218
X0_iqr_ratio,0.02016588438443152
mechdetect_auc_complete,0.018049912348506628
auc_mask_from_Xobs,0.017094924541246607
coef_X1_abs,0.016017884338365495
mechdetect_auc_shuffled,0.012567192746792792
mechdetect_delta_complete_shuffled,0.011594990344404978
mechdetect_mwu_pvalue,0.008692940351469391
X0_tail_missing_ratio,9.802883503594162e-05
