modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.5806451612903226,0.36,0.4444444444444444,100
RandomForest,MAR,0.3448275862068966,0.4,0.37037037037037035,100
RandomForest,MNAR,0.509009009009009,0.565,0.5355450236966824,200
GradientBoosting,MCAR,0.6212121212121212,0.41,0.4939759036144578,100
GradientBoosting,MAR,0.39316239316239315,0.46,0.423963133640553,100
GradientBoosting,MNAR,0.543778801843318,0.59,0.565947242206235,200
LogisticRegression,MCAR,0.432,0.54,0.48,100
LogisticRegression,MAR,0.13392857142857142,0.15,0.14150943396226415,100
LogisticRegression,MNAR,0.4785276073619632,0.39,0.4297520661157025,200
SVM_RBF,MCAR,0.5086206896551724,0.59,0.5462962962962963,100
SVM_RBF,MAR,0.2975206611570248,0.36,0.3257918552036199,100
SVM_RBF,MNAR,0.4233128834355828,0.345,0.38016528925619836,200
KNN,MCAR,0.39375,0.63,0.4846153846153846,100
KNN,MAR,0.2987012987012987,0.23,0.2598870056497175,100
KNN,MNAR,0.4171779141104294,0.34,0.3746556473829201,200
MLP,MCAR,0.5,0.44,0.46808510638297873,100
MLP,MAR,0.29357798165137616,0.32,0.3062200956937799,100
MLP,MNAR,0.458128078817734,0.465,0.46153846153846156,200
NaiveBayes,MCAR,0.36764705882352944,0.75,0.4934210526315789,100
NaiveBayes,MAR,0.02857142857142857,0.01,0.014814814814814815,100
NaiveBayes,MNAR,0.36024844720496896,0.29,0.32132963988919666,200
