modelo,fold,score
RandomForest,0,0.5633333333333334
RandomForest,1,0.6133333333333333
RandomForest,2,0.38333333333333336
RandomForest,3,0.1569767441860465
RandomForest,4,0.6213872832369942
GradientBoosting,0,0.59
GradientBoosting,1,0.54
GradientBoosting,2,0.35
GradientBoosting,3,0.28488372093023256
GradientBoosting,4,0.5722543352601156
LogisticRegression,0,0.25333333333333335
LogisticRegression,1,0.38666666666666666
LogisticRegression,2,0.38666666666666666
LogisticRegression,3,0.15988372093023256
LogisticRegression,4,0.33236994219653176
SVM_RBF,0,0.39666666666666667
SVM_RBF,1,0.43333333333333335
SVM_RBF,2,0.27
SVM_RBF,3,0.23255813953488372
SVM_RBF,4,0.546242774566474
KNN,0,0.4666666666666667
KNN,1,0.44666666666666666
KNN,2,0.2733333333333333
KNN,3,0.24127906976744187
KNN,4,0.4653179190751445
MLP,0,0.37666666666666665
MLP,1,0.39
MLP,2,0.31333333333333335
MLP,3,0.311046511627907
MLP,4,0.5895953757225434
NaiveBayes,0,0.4066666666666667
NaiveBayes,1,0.6066666666666667
NaiveBayes,2,0.27666666666666667
NaiveBayes,3,0.35174418604651164
NaiveBayes,4,0.5057803468208093
