feature,importance
caafe_cond_entropy_X0_mask,0.10061278323451948
caafe_kurtosis_excess,0.09494749476150903
X0_obs_skew_diff,0.08874703225203198
X0_obs_vs_full_ratio,0.08342264489861101
X0_censoring_score,0.05220532929555381
caafe_kl_density,0.04458008134071244
X1_mean_diff,0.037389016382892784
little_proxy_score,0.03557261280266047
X0_mean_shift_X1_to_X4,0.03458627303518709
llm_ctx_domain_confidence,0.03404628662849777
X0_ks_obs_vs_imputed,0.032678856601977536
caafe_auc_self_delta,0.030839217563529062
mask_entropy,0.027491626362177224
log_pval_X1_mask,0.023040445509559884
X0_missing_rate,0.022968594730799527
X1_mannwhitney_pval,0.02209988547533602
mechdetect_auc_excluded,0.021957771669624242
mechdetect_delta_complete_excluded,0.021399207628113502
X0_iqr_ratio,0.018557033925935267
mechdetect_auc_complete,0.017532720331709106
coef_X1_abs,0.01747261460959125
llm_ctx_counter_strength,0.01616978929729722
llm_ctx_cause_type,0.015571405430901816
auc_mask_from_Xobs,0.014893252548199148
llm_ctx_domain_prior,0.01232618660154226
mechdetect_auc_shuffled,0.01115633272051139
mechdetect_delta_complete_shuffled,0.010401321790132822
llm_ctx_stats_agreement,0.010396194015928603
llm_ctx_surprise,0.010376486916907221
llm_ctx_n_causes,0.009926609984964254
llm_ctx_stats_consistency,0.009883428579759908
mechdetect_mwu_pvalue,0.00890484005196759
llm_ctx_confidence_delta,0.007646919706429827
X0_tail_missing_ratio,0.00019970331492960984
