modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.8478260869565217,0.39,0.5342465753424658,100
RandomForest,MAR,0.291044776119403,0.3939393939393939,0.33476394849785407,99
RandomForest,MNAR,0.5205479452054794,0.57,0.5441527446300716,200
GradientBoosting,MCAR,0.8181818181818182,0.45,0.5806451612903226,100
GradientBoosting,MAR,0.3028169014084507,0.43434343434343436,0.35684647302904565,99
GradientBoosting,MNAR,0.5247524752475248,0.53,0.527363184079602,200
LogisticRegression,MCAR,0.5673076923076923,0.59,0.5784313725490197,100
LogisticRegression,MAR,0.128,0.16161616161616163,0.14285714285714285,99
LogisticRegression,MNAR,0.49411764705882355,0.42,0.4540540540540541,200
SVM_RBF,MCAR,0.782051282051282,0.61,0.6853932584269663,100
SVM_RBF,MAR,0.2013888888888889,0.29292929292929293,0.23868312757201646,99
SVM_RBF,MNAR,0.4689265536723164,0.415,0.4403183023872679,200
KNN,MCAR,0.5114503816793893,0.67,0.5800865800865801,100
KNN,MAR,0.19047619047619047,0.20202020202020202,0.19607843137254902,99
KNN,MNAR,0.49079754601226994,0.4,0.44077134986225897,200
MLP,MCAR,0.8181818181818182,0.36,0.5,100
MLP,MAR,0.23417721518987342,0.37373737373737376,0.28793774319066145,99
MLP,MNAR,0.43147208121827413,0.425,0.4282115869017632,200
NaiveBayes,MCAR,0.4768211920529801,0.72,0.5737051792828686,100
NaiveBayes,MAR,0.027777777777777776,0.010101010101010102,0.014814814814814815,99
NaiveBayes,MNAR,0.5094339622641509,0.54,0.5242718446601942,200
