X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_auc_self_delta,caafe_kl_density,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask,llm_ctx_domain_prior,llm_ctx_domain_confidence,llm_ctx_stats_consistency,llm_ctx_surprise,llm_ctx_confidence_delta,llm_ctx_counter_strength,llm_ctx_cause_type,llm_ctx_n_causes,llm_ctx_stats_agreement
0.04,0.9952551787987506,1.0072463768115942,0.0538603319559048,0.1005119781920235,0.6197916666666666,0.812633233677017,0.2377421128559265,0.1075031187577579,0.5364583333333334,0.02,1.0,1.9684392788407163,0.0,0.1919386673065325,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.1327436282885812,0.2257355131993065,0.5,0.9,0.95,0.05,0.05,0.6,0.5,0.8,0.95
0.09,0.992823164768866,1.2028985507246386,0.0955375820158781,0.4566132076348349,0.7968936678614099,1.8888151651782876,0.2821998789740725,0.0194563074250674,0.5,0.0445054945054945,1.0,2.7725613589060143,0.0,0.1899669662281229,0.8482676224611708,0.6193834900731452,0.7931899641577062,0.2288841323880256,0.0550776583034646,0.1,0.0688596491228069,19.702364799994747,-0.2146132035358907,0.3036255322569677,0.5,0.95,0.95,0.0,0.0,0.3,0.5,0.8,1.0
0.09,0.990668437935392,1.1620553359683798,0.1147094635090949,1.0285656709861706,0.6401433691756272,1.827109380510764,0.2776509535094343,0.0149734295597382,0.4462759462759462,0.0445054945054945,1.0,3.361700305085886,0.0054514106684023,0.172555123659481,0.6908004778972522,0.6665430725497465,0.643847072879331,0.0242574053475056,0.0469534050179212,1.0,0.2979532163742691,20.23991011888752,-0.1669985269203504,0.3405237479640617,0.5,0.95,0.95,0.0,0.0,0.2,0.5,1.0,1.0
0.05,0.9972393213555024,1.0555555555555558,0.0408898996925375,0.4479895102131146,0.6901881720430106,1.2454119416256977,0.2804066736702696,0.0462851226231033,0.5552631578947369,0.0247368421052631,1.0,2.357135055838902,0.003975143702974,0.2273775227714533,0.7014448924731184,0.7506720430107526,0.6901881720430106,-0.0492271505376342,0.0112567204301077,1.0,0.131578947368421,19.161156431801626,0.0170207041119683,0.2546499336950821,0.5,0.95,1.0,0.0,0.0,0.1,0.5,1.0,1.0
0.03,0.9968741793661956,1.0212765957446812,0.0377477796671158,0.606388326100398,0.65625,1.0867903431455093,0.3359911916183841,0.0915546152726762,0.4914089347079037,0.0148453608247422,1.0,1.712946901524414,0.0030467210373664,0.2209956883162641,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.1004115986849405,0.2610974657394437,0.5,0.95,0.95,0.0,0.0,0.2,0.5,0.8,1.0
0.03,0.9972438806020776,1.008403361344538,0.0332749632582534,0.8413422512007103,0.8131313131313131,1.4624366208287598,0.4431391919993784,0.0355963680658338,0.7087628865979382,0.0148453608247422,1.0,1.667568558276424,0.0,0.2936860319513016,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.254697238068049,0.2924268678475954,0.5,0.95,0.95,0.05,0.05,0.4,0.5,1.0,0.95
0.08,0.9930954910076554,1.053333333333332,0.1216776102956997,0.4887990918623631,0.6412186379928316,1.0215240963589771,0.1865617275318447,0.0910442461732544,0.4755434782608695,0.0382608695652173,1.0,3.300599929116883,0.0,0.1282992251456787,0.5860215053763441,0.5107440142162365,0.6448028673835126,0.0752774911601076,-0.0587813620071684,1.0,0.163888888888889,19.636915546192498,2.0942841829927934,0.1761464439782173,0.5,0.95,0.95,0.05,0.1,0.9,0.5,0.8,0.95
0.06,0.9955290922628554,1.0505050505050506,0.0677228818394802,0.2224566492246698,0.4361559139784947,0.1682558151071963,0.0577860545812811,0.8960685365820231,0.2535460992907801,0.03,1.0,2.3695483538732547,0.0,0.0406716105874213,0.338877688172043,0.6184027777777777,0.4415322580645162,-0.2795250896057347,-0.1026545698924731,0.4,0.3847953216374268,20.363131475069245,0.3530546621880011,0.3385805801309896,0.0,0.8,0.9,0.1,0.05,0.9,0.0,0.8,0.9
0.05,0.9976783054881736,1.0739549839228302,0.0299237393217896,0.1636760808557381,0.5623319892473119,0.4093380807382626,0.1230048444353718,0.4766386822094201,0.381578947368421,0.0247368421052631,1.0,2.0233719162032906,0.0,0.0806106332867007,0.5940860215053764,0.0,0.5569556451612904,0.0,0.037130376344086,0.0,0.2421052631578948,21.243247620344277,-0.1015353429023,0.2476418159025596,0.5,0.9,0.9,0.1,0.05,0.9,0.5,1.0,0.9
0.03,0.9968598999182716,1.0491803278688523,0.0375032294831718,0.2060677795148163,0.6723484848484849,0.561009321711975,-0.2131970660833422,0.3171943099619322,0.4304123711340206,0.0148453608247422,1.0,2.041087596613486,0.0,0.1644946872430163,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0872963124131263,0.2401935834314981,0.5,0.7,0.9,0.6,0.15,0.9,0.0,0.8,0.4
