X0_missing_rate,X0_obs_vs_full_ratio,X0_iqr_ratio,X0_obs_skew_diff,coef_X1_abs,auc_mask_from_Xobs,log_pval_X1_mask,X1_mean_diff,X1_mannwhitney_pval,little_proxy_score,X0_ks_obs_vs_imputed,X0_tail_missing_ratio,mask_entropy,X0_censoring_score,X0_mean_shift_X1_to_X4,mechdetect_auc_complete,mechdetect_auc_shuffled,mechdetect_auc_excluded,mechdetect_delta_complete_shuffled,mechdetect_delta_complete_excluded,mechdetect_mwu_pvalue,caafe_auc_self_delta,caafe_kl_density,caafe_kurtosis_excess,caafe_cond_entropy_X0_mask,llm_ctx_domain_prior,llm_ctx_domain_confidence,llm_ctx_stats_consistency,llm_ctx_surprise,llm_ctx_confidence_delta,llm_ctx_counter_strength,llm_ctx_cause_type,llm_ctx_n_causes,llm_ctx_stats_agreement
0.04,0.9952551787987506,1.0072463768115942,0.053860331955904894,0.10051197819202354,0.6197916666666666,0.812633233677017,0.2377421128559265,0.10750311875775792,0.5364583333333334,0.02,1.0,1.9684392788407163,0.0,0.19193866730653258,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.13274362828858122,0.22573551319930651,1.0,0.85,0.9,0.1,0.0,0.2,1.0,1.0,1.0
0.09,0.9928231647688661,1.2028985507246386,0.09553758201587814,0.45661320763483493,0.7968936678614099,1.8888151651782876,0.2821998789740725,0.0194563074250674,0.5,0.04450549450549451,1.0,2.7725613589060143,0.0,0.18996696622812292,0.8482676224611708,0.6193834900731452,0.7931899641577062,0.22888413238802563,0.05507765830346467,0.1,0.06885964912280695,19.702364799994747,-0.21461320353589075,0.30362553225696776,1.0,0.9,1.0,0.0,0.0,0.2,1.0,1.0,1.0
0.09,0.990668437935392,1.1620553359683798,0.11470946350909494,1.0285656709861706,0.6401433691756272,1.827109380510764,0.27765095350943436,0.014973429559738212,0.44627594627594624,0.04450549450549451,1.0,3.3617003050858854,0.0054514106684023155,0.17255512365948106,0.6908004778972522,0.6665430725497465,0.643847072879331,0.024257405347505645,0.046953405017921224,1.0,0.2979532163742691,20.23991011888752,-0.16699852692035044,0.3405237479640617,1.0,0.85,1.0,0.0,0.0,0.2,1.0,1.0,1.0
0.05,0.9972393213555024,1.0555555555555558,0.040889899692537535,0.44798951021311467,0.6901881720430106,1.2454119416256975,0.2804066736702696,0.04628512262310333,0.5552631578947369,0.024736842105263158,1.0,2.357135055838902,0.0039751437029740015,0.22737752277145337,0.7014448924731184,0.7506720430107526,0.6901881720430106,-0.04922715053763427,0.011256720430107725,1.0,0.13157894736842102,19.161156431801622,0.01702070411196832,0.25464993369508215,1.0,0.9,1.0,0.0,0.0,0.2,1.0,1.0,1.0
0.03,0.9968741793661955,1.0212765957446812,0.037747779667115844,0.606388326100398,0.65625,1.0867903431455093,0.33599119161838414,0.09155461527267629,0.49140893470790376,0.014845360824742268,1.0,1.7129469015244139,0.003046721037366491,0.22099568831626415,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.10041159868494054,0.2610974657394437,1.0,0.85,1.0,0.0,0.03,0.25,1.0,1.0,1.0
0.03,0.9972438806020775,1.008403361344538,0.03327496325825341,0.8413422512007103,0.8131313131313131,1.4624366208287598,0.44313919199937846,0.03559636806583385,0.7087628865979382,0.014845360824742268,1.0,1.667568558276424,0.0,0.29368603195130166,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,-0.254697238068049,0.2924268678475954,1.0,0.9,1.0,0.0,0.0,0.2,1.0,1.0,1.0
0.08,0.9930954910076554,1.0533333333333321,0.12167761029569979,0.4887990918623631,0.6412186379928316,1.0215240963589773,0.1865617275318447,0.0910442461732544,0.47554347826086957,0.03826086956521739,1.0,3.300599929116883,0.0,0.12829922514567876,0.5860215053763441,0.5107440142162365,0.6448028673835126,0.07527749116010762,-0.058781362007168436,1.0,0.16388888888888908,19.636915546192498,2.0942841829927934,0.17614644397821738,1.0,0.85,0.9,0.1,0.05,0.25,1.0,1.0,1.0
0.06,0.9955290922628554,1.0505050505050506,0.06772288183948028,0.22245664922466982,0.4361559139784947,0.16825581510719637,0.057786054581281165,0.8960685365820231,0.25354609929078015,0.03,1.0,2.3695483538732547,0.0,0.04067161058742132,0.338877688172043,0.6184027777777777,0.4415322580645162,-0.27952508960573474,-0.10265456989247318,0.4,0.38479532163742686,20.363131475069245,0.3530546621880011,0.33858058013098963,1.0,0.8,1.0,0.0,0.05,0.15,1.0,1.0,1.0
0.05,0.9976783054881737,1.0739549839228302,0.029923739321789655,0.16367608085573812,0.5623319892473119,0.40933808073826267,0.12300484443537185,0.4766386822094201,0.381578947368421,0.024736842105263158,1.0,2.0233719162032906,0.0,0.08061063328670073,0.5940860215053764,0.0,0.5569556451612904,0.0,0.037130376344086,0.0,0.24210526315789482,21.243247620344277,-0.10153534290230004,0.24764181590255965,1.0,0.9,1.0,0.0,0.05,0.1,1.0,1.0,1.0
0.03,0.9968598999182715,1.0491803278688523,0.03750322948317186,0.20606777951481633,0.6723484848484849,0.561009321711975,-0.2131970660833422,0.3171943099619322,0.4304123711340206,0.014845360824742268,1.0,2.041087596613486,0.0,0.1644946872430163,0.5,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0872963124131263,0.2401935834314981,1.0,0.85,1.0,0.1,0.0,0.2,1.0,1.0,1.0
