modelo,classe,precision,recall,f1,support
RandomForest,MCAR,0.30434782608695654,0.5157894736842106,0.3828125,95
RandomForest,MAR,0.4959349593495935,0.4066666666666667,0.4468864468864469,150
RandomForest,MNAR,0.4954954954954955,0.36666666666666664,0.421455938697318,150
GradientBoosting,MCAR,0.29213483146067415,0.5473684210526316,0.38095238095238093,95
GradientBoosting,MAR,0.4765625,0.4066666666666667,0.43884892086330934,150
GradientBoosting,MNAR,0.5617977528089888,0.3333333333333333,0.41841004184100417,150
LogisticRegression,MCAR,0.5625,0.5684210526315789,0.5654450261780105,95
LogisticRegression,MAR,0.5341614906832298,0.5733333333333334,0.5530546623794212,150
LogisticRegression,MNAR,0.5579710144927537,0.5133333333333333,0.5347222222222222,150
SVM_RBF,MCAR,0.31333333333333335,0.49473684210526314,0.3836734693877551,95
SVM_RBF,MAR,0.4744525547445255,0.43333333333333335,0.4529616724738676,150
SVM_RBF,MNAR,0.5648148148148148,0.4066666666666667,0.4728682170542636,150
KNN,MCAR,0.3404255319148936,0.5052631578947369,0.4067796610169492,95
KNN,MAR,0.42962962962962964,0.38666666666666666,0.4070175438596491,150
KNN,MNAR,0.42857142857142855,0.34,0.379182156133829,150
MLP,MCAR,0.3680555555555556,0.5578947368421052,0.4435146443514644,95
MLP,MAR,0.45864661654135336,0.4066666666666667,0.43109540636042404,150
MLP,MNAR,0.4745762711864407,0.37333333333333335,0.417910447761194,150
NaiveBayes,MCAR,0.7924528301886793,0.4421052631578947,0.5675675675675675,95
NaiveBayes,MAR,0.5153846153846153,0.44666666666666666,0.4785714285714286,150
NaiveBayes,MNAR,0.5141509433962265,0.7266666666666667,0.6022099447513812,150
